"Version","Variable Order","Class","Dataset Name","Variable Name","Variable Label","Type","Controlled Terms, Codelist or Format","Role","Role Description","Description"
"SDTM v1.4","5","Trial Design","TS","TSPARMCD","Trial Summary Parameter Short Name","Char",,,,"TSPARMCD (the companion to TSPARM) is limited to 8 characters and does not have special character restrictions. These values should be short for ease of use in programming, but it is not expected that TSPARMCD will need to serve as variable names. Examples: AGEMIN, AGEMAX"
"SDTM v1.4","6","Trial Design","TS","TSPARM","Trial Summary Parameter","Char",,,,"Term for the Trial Summary Parameter. The value in TSPARM cannot be longer than 40 characters. Examples Planned Minimum Age of Subjects, Planned Maximum Age of Subjects"
"SDTM v1.4","7","Trial Design","TS","TSVAL","Parameter Value","Char",,,,"Value of TSPARM. Example: ""ASTHMA"" when TSPARM value is ""Trial Indications"". If TSVAL is null; a value is required for TSVALNF. Text over 200 characters can be added to additional columns TSVAL1-TSVALn."
"SDTM v1.4","8","Trial Design","TS","TSVALNF","Parameter Null Flavor","Char",,,,"Null flavor for the value of TSVAL describing the reason the value is null, to be populated if and only if TSVAL is null."
"SDTM v1.4","9","Trial Design","TS","TSVALCD","Parameter Value Code","Char",,,,"Code of the term in TSVAL from Reference Terminology cited in TSVCDREF."
"SDTM v1.4","10","Trial Design","TS","TSVCDREF","Name of the Reference Terminology","Char",,,,"The name of the Reference Terminology from which TSVALCD is taken. For example; CDISC, SNOMED, ISO 8601."
"SDTM v1.4","11","Trial Design","TS","TSVCDVER","Version of the Reference Terminology","Char",,,,"The version number of the Reference Terminology cited in TSVCDREF, if applicable."
"SDTM v1.4","1","Trial Design","TD","STUDYID","Study Identifier","Char",,,,"Unique identifier for a study."
"SDTM v1.4","2","Trial Design","TD","DOMAIN","Domain Abbreviation","Char",,,,"Two-character abbreviation for the domain, which must be TD."
"SDTM v1.4","3","Trial Design","TD","TDORDER","Sequence of Planned Assessment Schedule","Num",,,,"A number given to ensure ordinal sequencing of the planned assessment schedules within a trial."
"SDTM v1.4","4","Trial Design","TD","TDANCVAR","Anchor Variable Name","Char",,,,"A reference to the date variable name that provides the start point from which the planned disease assessment schedule is measured. This must be referenced from the ADaM ADSL dataset e.g. ANCH1DT.  Note: TDANCVAR is to contain the name of a reference date variable name."
"SDTM v1.4","5","Trial Design","TD","TDSTOFF","Offset from the Anchor","Char",,,,"A fixed offset from the date provided by the variable referenced in TDANCVAR. This is used when the timing of planned cycles does not start on the exact day referenced in the variable indicated in TDANCVAR. The value of this variable will be either zero or a positive value and will be represented in ISO 8601 character format."
"SDTM v1.4","6","Trial Design","TD","TDTGTPAI","Planned Assessment Interval","Char",,,,"The planned interval between disease assessments represented in ISO 8601 character format."
"SDTM v1.4","7","Trial Design","TD","TDMINPAI","Planned Assessment Interval Minimum","Char",,,,"The lower limit of the allowed range for the planned interval between disease assessments represented in ISO 8601 character format."
"SDTM v1.4","8","Trial Design","TD","TDMAXPAI","Planned Assessment Interval Maximum","Char",,,,"The upper limit of the allowed range for the planned interval between disease assessments represented in ISO 8601 character format."
"SDTM v1.4","9","Trial Design","TD","TDNUMRPT","Maximum Number of Actual Assessments","Num",,,,"This variable must represent the maximum number of actual assessments for the analysis that this disease assessment schedule describes. In a trial where the maximum number of assessments is not defined explicitly in the protocol (e.g. assessments occur until death) TDNUMRPT should represent the maximum number of disease assessments that support the efficacy analysis, encountered by any subject across the trial at that point in time."
"SDTM v1.4","1","Relationship","RELREC","STUDYID","Study Identifier","Char",,,,"Study Identifier of the domain record(s)."
"SDTM v1.4","2","Relationship","RELREC","RDOMAIN","Related Domain Abbreviation","Char",,,,"Two-character abbreviation for the domain of the parent record(s)."
"SDTM v1.4","3","Relationship","RELREC","USUBJID","Unique Subject Identifier","Char",,,,"Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product."
"SDTM v1.4","4","Relationship","RELREC","APID","Associated Persons Identifier","Char",,,,"Identifier for a single associated person, a group of associated persons, or a pool of associated persons. If APID identifies a pool, POOLDEF records must exist for each associated person. (See Section 5 for Associated Persons data)"
"SDTM v1.4","5","Relationship","RELREC","POOLID","Pool Identifier","Char",,,,"Identifier used for pooling subjects to assign a single finding to multiple subjects."
"SDTM v1.4","6","Relationship","RELREC","IDVAR","Identifying Variable","Char",,,,"Name of the identifying variable in the general-observation-class dataset that identifies the related record(s). Examples include --SEQ and --GRPID."
"SDTM v1.4","7","Relationship","RELREC","IDVARVAL","Identifying Variable Value","Char",,,,"Value of identifying variable described in IDVAR. If  --SEQ is the variable being used to describe this record, then the value of --SEQ would be entered here."
"SDTM v1.4","8","Relationship","RELREC","RELTYPE","Relationship Type","Char",,,,"Identifies the hierarchical level of the records in the relationship. Values should be either ONE or MANY. However, values are only necessary when identifying a relationship between datasets."
"SDTM v1.4","9","Relationship","RELREC","RELID","Relationship Identifier","Char",,,,"Unique value within USUBJID that identifies the relationship. All records for the same USUBJID that have the same RELID are considered ""related/associated."" RELID can be any value the sponsor chooses, and is only meaningful within the RELREC dataset to identify the related/associated Domain records."
"SDTM v1.4","1","Relationship","SUPPQUAL","STUDYID","Study Identifier","Char",,,,"Study Identifier of the parent record(s)."
"SDTM v1.4","2","Relationship","SUPPQUAL","RDOMAIN","Related Domain Abbreviation","Char",,,,"Two-character abbreviation for the domain of the parent record(s)."
"SDTM v1.4","3","Relationship","SUPPQUAL","USUBJID","Unique Subject Identifier","Char",,,,"Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product."
"SDTM v1.4","4","Relationship","SUPPQUAL","APID","Associated Persons Identifier","Char",,,,"Identifier for a single associated person, a group of associated persons, or a pool of associated persons. If APID identifies a pool, POOLDEF records must exist for each associated person. (See Section 5 for Associated Persons data)"
"SDTM v1.4","5","Relationship","SUPPQUAL","POOLID","Pool Identifier","Char",,,,"Identifier used for pooling subjects to assign a single finding to multiple subjects."
"SDTM v1.4","6","Relationship","SUPPQUAL","IDVAR","Identifying Variable","Char",,,,"Identifying variable in the parent dataset that identifies the related record(s). Examples: --SEQ, --GRPID."
"SDTM v1.4","7","Relationship","SUPPQUAL","IDVARVAL","Identifying Variable Value","Char",,,,"Value of identifying variable of the parent record(s)."
"SDTM v1.4","8","Relationship","SUPPQUAL","QNAM","Qualifier Variable Name","Char",,,,"The short name of the Qualifier variable, which is used as a column name in a domain view with data from the parent domain. The value in QNAM cannot be longer than 8 characters, nor can it start with a number (e.g., ""1TEST""). QNAM cannot contain characters other than letters, numbers, or underscores. This will often be the column name in the sponsor's operational dataset."
"SDTM v1.4","9","Relationship","SUPPQUAL","QLABEL","Qualifier Variable Label","Char",,,,"This is the long name or label associated with QNAM. The value in QLABEL cannot be longer than 40 characters. This will often be the column label in the sponsor's original dataset."
"SDTM v1.4","10","Relationship","SUPPQUAL","QVAL","Data Value","Char",,,,"Result of, response to, or value associated with QNAM. A value for this column is required; no records can be in a SUPP-- dataset with a null value for QVAL"
"SDTM v1.4","11","Relationship","SUPPQUAL","QORIG","Origin","Char",,,,"Since QVAL can represent a mixture of collected (on a CRF), derived, or assigned items, QORIG is used to indicate the origin of this data. Examples include CRF, ASSIGNED, or DERIVED."
"SDTM v1.4","12","Relationship","SUPPQUAL","QEVAL","Evaluator","Char",,,,"Used only for results that are subjective (e.g., assigned by a person or a group). Should be null for records that contain objectively collected or derived data. Some examples include ADJUDICATION COMMITTEE, STATISTICIAN, DATABASE ADMINISTRATOR, CLINICAL COORDINATOR, etc."
"SDTM v1.4","1","Relationship","POOLDEF","STUDYID","Study Identifier","Char",,,,"Study Identifier of the parent record(s)."
"SDTM v1.4","2","Relationship","POOLDEF","POOLID","Pool Identifier","Char",,,,"Identifier used for pooling subjects to assign a single finding to multiple subjects."
"SDTM v1.4","3","Relationship","POOLDEF","USUBJID","Unique Subject Identifier","Char",,,,"Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product."
"SDTM v1.4","4","Relationship","POOLDEF","APID","Associated Persons Identifier","Char",,,,"Identifier for a single associated person, a group of associated persons, or a pool of associated persons."
"SDTM v1.4","1","Relationship","RELSUB","STUDYID","Study Identifier","Char",,,,"Unique identifier for a study."
"SDTM v1.4","2","Relationship","RELSUB","USUBJID","Unique Subject Identifier","Char",,,,"Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product. Either USUBJID or POOLID must be populated."
"SDTM v1.4","3","Relationship","RELSUB","POOLID","Pool Identifier","Char",,,,"Identifier used to identify a pool of subjects. If POOLID is entered, POOLDEF records must exist for each subject in the pool and USUBJID must be null. Either USUBJID or POOLID must be populated."
"SDTM v1.4","4","Relationship","RELSUB","RSUBJID","Related Subject or Pool Identifier","Char",,,,"Identifier used to identify a related subject or pool of subjects. RSUBJID will be populated with either the USUBJID of the related subject or the POOLID of the related pool."
"SDTM v1.4","5","Relationship","RELSUB","SREL","Subject Relationship","Char",,,,"Describes the relationship of the subject identified in USUBJID or the pool identified in POOLID to the subject or pool identified in RSUBJID."
"SDTM v1.4","1","Associated Persons","APRELSUB","STUDYID","Study Identifier","Char",,"Identifier","Identifier","Unique identifier for a study."
"SDTM v1.4","2","Associated Persons","APRELSUB","APID","Associated Persons Identifier","Char",,"Identifier","Identifier","Identifier for a single associated person, a group of associated persons, or a pool of associated persons. If APID identifies a pool, POOLDEF records must exist for each associated person."
"SDTM v1.4","3","Associated Persons","APRELSUB","RSUBJID","Related Subject or Pool Identifier","Char",,"Identifier","Identifier","Identifier for a related subject or pool of subjects. RSUBJID may be populated with the USUBJID of the related subject or the POOLID of the related pool. RSUBJID will be null for data about associated persons who are related to the study but not to any study subjects."
"SDTM v1.4","4","Associated Persons","APRELSUB","RDEVID","Related Device Identifier","Char",,"Identifier","Identifier","Identifier for a related device. RDEVID will be populated with the SPDEVID of the related device."
"SDTM v1.4","5","Associated Persons","APRELSUB","SREL","Subject, Device, or Study Relationship","Char",,"Record Qualifier","Record Qualifier","If RSUBJID is populated, describes the relationship of the associated person(s) identified in APID to the subject or pool identified in RSUBJID. If RDEVID is populated, describes the relationship of the associated person(s) identified in APID to the subject or pool identified in RDEVID. If RSUBJID and RDEVID are null, SREL describes the relationship of the associated person(s) identified in APID to the study identified in STUDYID."
